Match, Player 1, Player 1 Score, Player 2, Player 2 Score
1, RandomPlayer, 794, CooperativePlayer, 309
2, RandomPlayer, 646, RandomDefector, 366
3, RandomPlayer, 465, TitForTat, 465
4, RandomPlayer, 95, DefectivePlayer, 620
5, RandomPlayer, 270, RandomCooperator, 525
6, CooperativePlayer, 423, RandomDefector, 718
7, CooperativePlayer, 600, TitForTat, 600
8, CooperativePlayer, 0, DefectivePlayer, 1000
9, CooperativePlayer, 207, RandomCooperator, 862
10, RandomDefector, 511, TitForTat, 511
11, RandomDefector, 68, DefectivePlayer, 728
12, RandomDefector, 267, RandomCooperator, 632
13, TitForTat, 199, DefectivePlayer, 204
14, TitForTat, 360, RandomCooperator, 365
15, DefectivePlayer, 420, RandomCooperator, 145
