TitForTat, RandomCooperator
C, D
D, C
C, C
C, C
C, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, C
C, D
D, C
C, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, C
C, D
D, D
D, C
C, C
C, D
D, C
C, D
D, C
C, C
C, D
D, D
D, D
D, C
C, C
C, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, C
C, D
D, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, C
C, C
C, D
D, C
C, C
C, D
D, D
D, C
C, D
D, C
C, D
D, C
C, C
C, D
D, D
D, C
C, C
C, C
C, C
C, D
D, D
D, C
C, C
C, D
D, C
C, D
D, D
D, C
C, C
C, C
C, D
D, C
C, C
C, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, C
C, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, C
C, D
D, D
D, C
C, C
C, C
C, D
D, D
D, C
C, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, C
C, D
D, C
C, D
D, C
C, D
D, D
D, C
C, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, C
C, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, C
C, D
D, C
C, D
D, C
C, C
C, C
C, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, C
C, D
D, C
C, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, C
C, C
C, D
D, C
C, D
D, C
C, C
C, C
C, C
C, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, C
C, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, C
C, C
C, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, C
C, D
D, D
D, D
D, D
D, C
C, D
D, D
D, C
C, D
D, C
C, C
C, D
D, C
C, D
D, D
D, C
C, D
D, C
C, D
D, C
C, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, C
C, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, C
C, C
C, D
D, D
D, D
D, C
C, C
C, D
D, C
C, D
D, D
D, D
D, C
C, C
C, C
C, C
C, C
C, D
D, D
D, C
C, D
D, D
D, D
D, D
D, C
C, C
C, C
C, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, C
C, C
C, C
C, D
D, C
C, D
D, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, C
C, D
D, C
C, D
D, D
D, C
C, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, C
C, C
C, D
D, D
D, C
C, D
D, D
D, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, C
C, C
C, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, C
C, D
D, D
D, D
D, D
D, C
C, D
D, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, C
C, D
D, D
D, D
D, C
C, C
C, C
C, D
D, D
D, D
D, D
D, C
C, C
C, D
D, C
C, D
D, D
D, D
D, D
D, C
C, D
D, C
C, C
C, C
C, D
D, D
D, D
D, D
D, D
D, D
D, D
D, D
D, C
C, C
C, D
D, D
D, C
C, D
D, D
D, D
D, C
C, C
C, C
C, C
C, D
D, C
C, D
D, C
C, C
C, D
D, D
D, D
D, C
C, C
C, D
D, D
D, D
D, D
D, C
C, D
D, D
D, D
D, D
D, D
D, C
