CooperativePlayer, TitForTat
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
C, C
